fila_csv,motivo,ficha,establecimiento
2,FICHA_NO_EXISTE,21,2
552,FICHA_NO_EXISTE,188649,2
672,FICHA_NO_EXISTE,60552,2
919,FICHA_NO_EXISTE,123030,3
1199,FICHA_NO_EXISTE,8122,2
1557,FICHA_NO_EXISTE,180470,2
1718,FICHA_NO_EXISTE,178311,2
2166,FICHA_NO_EXISTE,112814,1
2966,FICHA_NO_EXISTE,187208,2
4827,FICHA_NO_EXISTE,101703,2
5027,FICHA_NO_EXISTE,187422,2
5385,FICHA_NO_EXISTE,121340,3
5924,FICHA_NO_EXISTE,24733,2
6011,FICHA_NO_EXISTE,29488,2
6837,FICHA_NO_EXISTE,56932,3
7538,FICHA_NO_EXISTE,40374,1
8348,FICHA_NO_EXISTE,114521,2
8773,FICHA_NO_EXISTE,189736,2
8919,FICHA_NO_EXISTE,123030,3
9024,FICHA_NO_EXISTE,59283,3
9027,FICHA_NO_EXISTE,94220,3
9233,FICHA_NO_EXISTE,180616,2
9501,FICHA_NO_EXISTE,111213,3
9777,FICHA_NO_EXISTE,123030,3
10244,FICHA_NO_EXISTE,57321,2
10961,FICHA_NO_EXISTE,461970,3
11772,FICHA_NO_EXISTE,47532,3
11824,FICHA_NO_EXISTE,108113,1
12169,FICHA_NO_EXISTE,160618,2
12943,FICHA_NO_EXISTE,99129,3
13624,FICHA_NO_EXISTE,126115,3
14589,FICHA_NO_EXISTE,79930,3
14640,FICHA_NO_EXISTE,57321,2
14934,FICHA_NO_EXISTE,187422,2
16338,FICHA_NO_EXISTE,111213,3
16915,FICHA_NO_EXISTE,185827,2
17289,FICHA_NO_EXISTE,163620,2
17627,FICHA_NO_EXISTE,185209,2
18342,FICHA_NO_EXISTE,36274,2
19490,FICHA_NO_EXISTE,57321,2
19638,FICHA_NO_EXISTE,29488,2
20374,FICHA_NO_EXISTE,45375,2
21006,FICHA_NO_EXISTE,57321,2
22107,FICHA_NO_EXISTE,186386,2
22550,FICHA_NO_EXISTE,21682,2
22841,FICHA_NO_EXISTE,186486,2
23779,FICHA_NO_EXISTE,167142,2
23808,FICHA_NO_EXISTE,164778,2
23941,FICHA_NO_EXISTE,45375,2
24114,FICHA_NO_EXISTE,185209,2
24804,FICHA_NO_EXISTE,44569,2
25315,FICHA_NO_EXISTE,45375,2
25429,FICHA_NO_EXISTE,44569,2
25596,FICHA_NO_EXISTE,186779,2
27067,FICHA_NO_EXISTE,163620,2
27125,FICHA_NO_EXISTE,84799,2
27643,FICHA_NO_EXISTE,53108,2
28364,FICHA_NO_EXISTE,57321,2
28829,FICHA_NO_EXISTE,148609,2
30532,FICHA_NO_EXISTE,187208,2
30768,FICHA_NO_EXISTE,45375,2
31077,FICHA_NO_EXISTE,182674,2
31764,FICHA_NO_EXISTE,187282,2
32360,FICHA_NO_EXISTE,25577,2
32616,FICHA_NO_EXISTE,29488,2
32688,FICHA_NO_EXISTE,24733,2
33034,FICHA_NO_EXISTE,187422,2
33566,FICHA_NO_EXISTE,11914,2
33731,FICHA_NO_EXISTE,182674,2
33769,FICHA_NO_EXISTE,21682,2
34380,FICHA_NO_EXISTE,24733,2
34732,FICHA_NO_EXISTE,144224,2
35822,FICHA_NO_EXISTE,186486,2
36803,FICHA_NO_EXISTE,123030,3
37589,FICHA_NO_EXISTE,45375,2
37817,FICHA_NO_EXISTE,182674,2
37853,FICHA_NO_EXISTE,11914,2
38157,FICHA_NO_EXISTE,186486,2
39131,FICHA_NO_EXISTE,160618,2
39144,FICHA_NO_EXISTE,121096,3
39335,FICHA_NO_EXISTE,873921,3
39500,FICHA_NO_EXISTE,457282,3
40097,FICHA_NO_EXISTE,108113,1
40381,FICHA_NO_EXISTE,20131,1
40407,FICHA_NO_EXISTE,73078,1
40534,FICHA_NO_EXISTE,20131,1
40872,FICHA_NO_EXISTE,163620,2
41605,FICHA_NO_EXISTE,182674,2
41771,FICHA_NO_EXISTE,123030,3
42061,FICHA_NO_EXISTE,187208,2
42234,FICHA_NO_EXISTE,71702,3
42325,FICHA_NO_EXISTE,3468,3
43012,FICHA_NO_EXISTE,188425,2
43443,FICHA_NO_EXISTE,187208,2
43486,FICHA_NO_EXISTE,910848,2
43569,FICHA_NO_EXISTE,71702,3
44168,FICHA_NO_EXISTE,182674,2
45133,FICHA_NO_EXISTE,182674,2
45357,FICHA_NO_EXISTE,24733,2
45825,FICHA_NO_EXISTE,119303,3
46681,FICHA_NO_EXISTE,160618,2
47013,FICHA_NO_EXISTE,178311,2
47508,FICHA_NO_EXISTE,44569,2
47980,FICHA_NO_EXISTE,10694,1
48768,FICHA_NO_EXISTE,20131,1
49559,FICHA_NO_EXISTE,75687,1
49697,FICHA_NO_EXISTE,109795,3
49739,FICHA_NO_EXISTE,188073,2
49997,FICHA_NO_EXISTE,577,3
51157,FICHA_NO_EXISTE,8122,2
52425,FICHA_NO_EXISTE,44569,2
52787,FICHA_NO_EXISTE,24733,2
52960,FICHA_NO_EXISTE,26536,3
53625,FICHA_NO_EXISTE,21682,2
53674,FICHA_NO_EXISTE,178311,2
54289,FICHA_NO_EXISTE,11894,3
55392,FICHA_NO_EXISTE,577,3
55870,FICHA_NO_EXISTE,178311,2
55901,FICHA_NO_EXISTE,25577,2
56154,FICHA_NO_EXISTE,106477,3
56211,FICHA_NO_EXISTE,11510,3
56866,FICHA_NO_EXISTE,144224,2
57031,FICHA_NO_EXISTE,186779,2
57035,FICHA_NO_EXISTE,178311,2
57697,FICHA_NO_EXISTE,64966,2
57709,FICHA_NO_EXISTE,123030,3
58702,FICHA_NO_EXISTE,36274,2
58855,FICHA_NO_EXISTE,144224,2
59468,FICHA_NO_EXISTE,187208,2
60032,FICHA_NO_EXISTE,79322,3
60982,FICHA_NO_EXISTE,79322,3
61411,FICHA_NO_EXISTE,79322,3
61701,FICHA_NO_EXISTE,121340,3
61929,FICHA_NO_EXISTE,57321,2
62177,FICHA_NO_EXISTE,111338,3
62411,FICHA_NO_EXISTE,29488,2
62486,FICHA_NO_EXISTE,186486,2
62667,FICHA_NO_EXISTE,180223,2
62752,FICHA_NO_EXISTE,79322,3
63432,FICHA_NO_EXISTE,24733,2
63757,FICHA_NO_EXISTE,11914,2
64316,FICHA_NO_EXISTE,79322,3
64635,FICHA_NO_EXISTE,189736,2
64907,FICHA_NO_EXISTE,47532,3
64947,FICHA_NO_EXISTE,21682,2
66363,FICHA_NO_EXISTE,123850,3
67082,FICHA_NO_EXISTE,64370,3
67235,FICHA_NO_EXISTE,12021,3
67438,FICHA_NO_EXISTE,109795,3
69035,FICHA_NO_EXISTE,21682,2
69108,FICHA_NO_EXISTE,186779,2
69446,FICHA_NO_EXISTE,119976,3
70002,FICHA_NO_EXISTE,104939,3
70235,FICHA_NO_EXISTE,66810,2
71721,FICHA_NO_EXISTE,44569,2
72018,FICHA_NO_EXISTE,144224,2
73108,FICHA_NO_EXISTE,50953,3
73212,FICHA_NO_EXISTE,47532,3
73373,FICHA_NO_EXISTE,106477,3
73931,FICHA_NO_EXISTE,94220,3
75999,FICHA_NO_EXISTE,44238,3
76164,FICHA_NO_EXISTE,186486,2
76292,FICHA_NO_EXISTE,121096,3
76295,FICHA_NO_EXISTE,114855,3
76600,FICHA_NO_EXISTE,123660,3
76848,FICHA_NO_EXISTE,577,3
77162,FICHA_NO_EXISTE,123030,3
77883,FICHA_NO_EXISTE,44569,2
78239,FICHA_NO_EXISTE,36274,2
78653,FICHA_NO_EXISTE,121096,3
78669,FICHA_NO_EXISTE,109795,3
78693,FICHA_NO_EXISTE,6883,3
79003,FICHA_NO_EXISTE,50953,3
80080,FICHA_NO_EXISTE,75687,1
80231,FICHA_NO_EXISTE,188649,2
80372,FICHA_NO_EXISTE,4332,2
81821,FICHA_NO_EXISTE,124371,3
82861,FICHA_NO_EXISTE,321,2
83231,FICHA_NO_EXISTE,110564,3
84215,FICHA_NO_EXISTE,75687,1
84711,FICHA_NO_EXISTE,59283,3
86203,FICHA_NO_EXISTE,190791,2
87937,FICHA_NO_EXISTE,123030,3
88470,FICHA_NO_EXISTE,110564,3
88571,FICHA_NO_EXISTE,189736,2
88934,FICHA_NO_EXISTE,124527,3
89110,FICHA_NO_EXISTE,124570,3
89643,FICHA_NO_EXISTE,75687,1
89729,FICHA_NO_EXISTE,188649,2
90871,FICHA_NO_EXISTE,180470,2
91129,FICHA_NO_EXISTE,191049,2
91169,FICHA_NO_EXISTE,186779,2
91282,FICHA_NO_EXISTE,5303,2
91598,FICHA_NO_EXISTE,75687,1
91695,FICHA_NO_EXISTE,90106,3
92857,FICHA_NO_EXISTE,121340,3
92865,FICHA_NO_EXISTE,65944,3
93432,FICHA_NO_EXISTE,24733,2
94675,FICHA_NO_EXISTE,188649,2
96500,FICHA_NO_EXISTE,29488,2
96517,FICHA_NO_EXISTE,109795,3
96794,FICHA_NO_EXISTE,36274,2
97015,FICHA_NO_EXISTE,123030,3
97128,FICHA_NO_EXISTE,189736,2
97636,FICHA_NO_EXISTE,110564,3
98008,FICHA_NO_EXISTE,82213,3
98236,FICHA_NO_EXISTE,577,3
98517,FICHA_NO_EXISTE,57321,2
99262,FICHA_NO_EXISTE,123030,3
99273,FICHA_NO_EXISTE,109795,3
99988,FICHA_NO_EXISTE,188649,2
100173,FICHA_NO_EXISTE,73078,1
101028,FICHA_NO_EXISTE,114521,2
101073,FICHA_NO_EXISTE,109059,3
101289,FICHA_NO_EXISTE,123030,3
101327,FICHA_NO_EXISTE,189736,2
101734,FICHA_NO_EXISTE,98819,1
101928,FICHA_NO_EXISTE,114855,3
102006,FICHA_NO_EXISTE,26536,3
102137,FICHA_NO_EXISTE,8470,3
102169,FICHA_NO_EXISTE,15113,3
102315,FICHA_NO_EXISTE,94220,3
102883,FICHA_NO_EXISTE,187422,2
102892,FICHA_NO_EXISTE,182674,2
103829,FICHA_NO_EXISTE,36274,2
104480,FICHA_NO_EXISTE,180223,2
104768,FICHA_NO_EXISTE,124946,3
104807,FICHA_NO_EXISTE,39255,3
105525,FICHA_NO_EXISTE,11914,2
106297,FICHA_NO_EXISTE,109795,3
106818,FICHA_NO_EXISTE,188649,2
107666,FICHA_NO_EXISTE,169212,2
107932,FICHA_NO_EXISTE,15113,3
107940,FICHA_NO_EXISTE,108113,1
108255,FICHA_NO_EXISTE,36274,2
108856,FICHA_NO_EXISTE,110564,3
109150,FICHA_NO_EXISTE,45375,2
109395,FICHA_NO_EXISTE,191869,2
109449,FICHA_NO_EXISTE,577,3
109934,FICHA_NO_EXISTE,59283,3
110094,FICHA_NO_EXISTE,15113,3
110137,FICHA_NO_EXISTE,36995,3
110527,FICHA_NO_EXISTE,114521,2
111006,FICHA_NO_EXISTE,123030,3
112050,FICHA_NO_EXISTE,112814,1
112309,FICHA_NO_EXISTE,812550,2
112355,FICHA_NO_EXISTE,169212,2
112539,FICHA_NO_EXISTE,75687,1
112578,FICHA_NO_EXISTE,169212,2
113032,FICHA_NO_EXISTE,59283,3
113515,FICHA_NO_EXISTE,180616,2
113617,FICHA_NO_EXISTE,189736,2
113620,FICHA_NO_EXISTE,125181,3
113643,FICHA_NO_EXISTE,109795,3
114280,FICHA_NO_EXISTE,57321,2
114958,FICHA_NO_EXISTE,321,2
115665,FICHA_NO_EXISTE,187422,2
117247,FICHA_NO_EXISTE,112814,1
117285,FICHA_NO_EXISTE,57321,2
117676,FICHA_NO_EXISTE,180616,2
117795,FICHA_NO_EXISTE,109795,3
117922,FICHA_NO_EXISTE,169212,2
118043,FICHA_NO_EXISTE,94220,3
118236,FICHA_NO_EXISTE,8122,2
118576,FICHA_NO_EXISTE,114521,2
118578,FICHA_NO_EXISTE,191869,2
120331,FICHA_NO_EXISTE,124946,3
120799,FICHA_NO_EXISTE,111575,1
121019,FICHA_NO_EXISTE,123030,3
121659,FICHA_NO_EXISTE,180616,2
122550,FICHA_NO_EXISTE,112814,1
123279,FICHA_NO_EXISTE,169212,2
124863,FICHA_NO_EXISTE,144224,2
125666,FICHA_NO_EXISTE,112049,1
125721,FICHA_NO_EXISTE,40374,1
126824,FICHA_NO_EXISTE,112814,1
126871,FICHA_NO_EXISTE,169212,2
127304,FICHA_NO_EXISTE,15113,3
127435,FICHA_NO_EXISTE,187422,2
128038,FICHA_NO_EXISTE,44238,3
128065,FICHA_NO_EXISTE,577,3
130274,FICHA_NO_EXISTE,186779,2
130281,FICHA_NO_EXISTE,44238,3
130367,FICHA_NO_EXISTE,44238,3
130569,FICHA_NO_EXISTE,577,3
130651,FICHA_NO_EXISTE,103370,3
130876,FICHA_NO_EXISTE,74123,3
131491,FICHA_NO_EXISTE,148609,2
131824,FICHA_NO_EXISTE,109795,3
134139,FICHA_NO_EXISTE,163620,2
134311,FICHA_NO_EXISTE,44238,3
134478,FICHA_NO_EXISTE,193925,2
134481,FICHA_NO_EXISTE,187422,2
134488,FICHA_NO_EXISTE,44238,3
134655,FICHA_NO_EXISTE,187422,2
134744,FICHA_NO_EXISTE,193928,2
134932,FICHA_NO_EXISTE,144224,2
134960,FICHA_NO_EXISTE,577,3
137730,FICHA_NO_EXISTE,94222,1
138612,FICHA_NO_EXISTE,44238,3
138949,FICHA_NO_EXISTE,126532,3
139417,FICHA_NO_EXISTE,114521,2
139558,FICHA_NO_EXISTE,114746,3
139675,FICHA_NO_EXISTE,57321,2
141214,FICHA_NO_EXISTE,94222,1
141230,FICHA_NO_EXISTE,44238,3
141973,FICHA_NO_EXISTE,191869,2
142238,FICHA_NO_EXISTE,47532,3
142886,FICHA_NO_EXISTE,126532,3
143899,FICHA_NO_EXISTE,126532,3
144948,FICHA_NO_EXISTE,187208,2
145227,FICHA_NO_EXISTE,144224,2
146545,FICHA_NO_EXISTE,126115,3
146956,FICHA_NO_EXISTE,36274,2
147772,FICHA_NO_EXISTE,60552,2
148633,FICHA_NO_EXISTE,24733,2
151029,FICHA_NO_EXISTE,144224,2
154849,FICHA_NO_EXISTE,160618,2
154948,FICHA_NO_EXISTE,312,3
155551,FICHA_NO_EXISTE,36274,2
156199,FICHA_NO_EXISTE,108113,1
156313,FICHA_NO_EXISTE,114521,2
157057,FICHA_NO_EXISTE,194769,2
157607,FICHA_NO_EXISTE,53633,3
158888,FICHA_NO_EXISTE,144224,2
158891,FICHA_NO_EXISTE,193928,2
159512,FICHA_NO_EXISTE,57321,2
160449,FICHA_NO_EXISTE,144224,2
161288,FICHA_NO_EXISTE,98351,3
161517,FICHA_NO_EXISTE,178311,2
162339,FICHA_NO_EXISTE,186779,2
162385,FICHA_NO_EXISTE,107755,3
163924,FICHA_NO_EXISTE,60552,2
165680,FICHA_NO_EXISTE,114521,2
166094,FICHA_NO_EXISTE,577,3
166438,FICHA_NO_EXISTE,186779,2
167177,FICHA_NO_EXISTE,195394,2
167483,FICHA_NO_EXISTE,167142,2
167705,FICHA_NO_EXISTE,182674,2
168272,FICHA_NO_EXISTE,115006,1
168738,FICHA_NO_EXISTE,148609,2
168831,FICHA_NO_EXISTE,119976,3
169295,FICHA_NO_EXISTE,8753,3
169791,FICHA_NO_EXISTE,121553,3
171002,FICHA_NO_EXISTE,57184,3
171082,FICHA_NO_EXISTE,195394,2
171201,FICHA_NO_EXISTE,193928,2
171225,FICHA_NO_EXISTE,195616,2
172624,FICHA_NO_EXISTE,188649,2
172750,FICHA_NO_EXISTE,195800,2
172997,FICHA_NO_EXISTE,57321,2
173247,FICHA_NO_EXISTE,91318,3
173582,FICHA_NO_EXISTE,8753,3
173597,FICHA_NO_EXISTE,155545,3
174803,FICHA_NO_EXISTE,126961,3
175028,FICHA_NO_EXISTE,195616,2
175299,FICHA_NO_EXISTE,970581,3
175388,FICHA_NO_EXISTE,114884,1
175542,FICHA_NO_EXISTE,970580,3
175712,FICHA_NO_EXISTE,57321,2
176127,FICHA_NO_EXISTE,114987,1
176409,FICHA_NO_EXISTE,126961,3
176544,FICHA_NO_EXISTE,195394,2
176678,FICHA_NO_EXISTE,195800,2
177360,FICHA_NO_EXISTE,79165,3
177397,FICHA_NO_EXISTE,8753,3
179053,FICHA_NO_EXISTE,196068,2
179056,FICHA_NO_EXISTE,109310,3
179245,FICHA_NO_EXISTE,115006,1
180854,FICHA_NO_EXISTE,148609,2
181230,FICHA_NO_EXISTE,57321,2
181250,FICHA_NO_EXISTE,24733,2
181628,FICHA_NO_EXISTE,126961,3
181668,FICHA_NO_EXISTE,126532,3
181749,FICHA_NO_EXISTE,196068,2
183037,FICHA_NO_EXISTE,160618,2
183382,FICHA_NO_EXISTE,196329,2
183858,FICHA_NO_EXISTE,121096,3
184047,FICHA_NO_EXISTE,26536,3
184808,FICHA_NO_EXISTE,188649,2
185133,FICHA_NO_EXISTE,24733,2
185336,FICHA_NO_EXISTE,160618,2
185465,FICHA_NO_EXISTE,184452,2
185617,FICHA_NO_EXISTE,9946,3
185652,FICHA_NO_EXISTE,126532,3
186228,FICHA_NO_EXISTE,119814,3
187916,FICHA_NO_EXISTE,115371,1
188381,FICHA_NO_EXISTE,3468,3
188496,FICHA_NO_EXISTE,129818,2
188986,FICHA_NO_EXISTE,26536,3
189554,FICHA_NO_EXISTE,126532,3
190029,FICHA_NO_EXISTE,8122,2
190045,FICHA_NO_EXISTE,105302,3
191127,FICHA_NO_EXISTE,60808,2
191206,FICHA_NO_EXISTE,114521,2
192210,FICHA_NO_EXISTE,160618,2
192459,FICHA_NO_EXISTE,18310,1
193132,FICHA_NO_EXISTE,5958,1
193538,FICHA_NO_EXISTE,18310,1
193895,FICHA_NO_EXISTE,160618,2
194019,FICHA_NO_EXISTE,163620,2
194250,FICHA_NO_EXISTE,194854,2
194293,FICHA_NO_EXISTE,115635,1
195267,FICHA_NO_EXISTE,129818,2
195957,FICHA_NO_EXISTE,160618,2
197195,FICHA_NO_EXISTE,129818,2
198370,FICHA_NO_EXISTE,9946,3
199219,FICHA_NO_EXISTE,60552,2
199357,FICHA_NO_EXISTE,128503,3
199942,FICHA_NO_EXISTE,115796,1
200209,FICHA_NO_EXISTE,148609,2
200507,FICHA_NO_EXISTE,115371,1
201284,FICHA_NO_EXISTE,129818,2
201598,FICHA_NO_EXISTE,194854,2
202601,FICHA_NO_EXISTE,163620,2
203058,FICHA_NO_EXISTE,144224,2
203221,FICHA_NO_EXISTE,128503,3
205162,FICHA_NO_EXISTE,8753,3
206092,FICHA_NO_EXISTE,115188,1
206632,FICHA_NO_EXISTE,129818,2
206832,FICHA_NO_EXISTE,115006,1
206931,FICHA_NO_EXISTE,170983,2
207023,FICHA_NO_EXISTE,122950,3
208157,FICHA_NO_EXISTE,128827,3
208500,FICHA_NO_EXISTE,191869,2
209321,FICHA_NO_EXISTE,49123,1
209841,FICHA_NO_EXISTE,152143,2
209981,FICHA_NO_EXISTE,122950,3
210383,FICHA_NO_EXISTE,170983,2
210456,FICHA_NO_EXISTE,197538,2
